nta_id,cluster_id,market_type,demand_score,halal_supply_rate,gap_score,halal_cuisine_diversity,demand_per_capita,population,demand_ci_lo,demand_ci_hi,cluster_confidence,latent_demand_score,halal_cuisine_diversity_norm,total_restaurants,halal_restaurants,critical_rate,grade_a_rate,inspection_frequency,viability_score,final_score,similar_ntas,rank,high_risk_prob,risk_bucket,risk_component,risk_confidence,halal_demand_forecast,new_halal_entry_forecast,moran_ii,moran_p,moran_q,lisa_opportunity,halal_demand_forecast_norm,final_score_adjusted
SI14,3,High Opportunity,0.775571851541788,0.0,1.0,0.0,0.0666692748331928,148071.0,0.6290382286884708,0.9054780511852276,0.2469630982719129,1.0,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,0.7673455938245887,"QN25,SI35,BK68",1,1.9580821568127915e-105,Low,Medium-Low Risk,Low confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.7980938819002569
QN44,3,High Opportunity,0.985014902070824,0.0,0.9691742317392392,0.0,0.34062422447202,148071.0,0.7667183149559964,0.887871640891244,0.4294930198863986,0.6191482586978907,0.0,21,0,0.3833333333333333,0.4166666666666667,2.857142857142857,0.3246754682971435,0.8466107471834541,"QN33,SI35,SI07",2,1.0000000000000002,High,Medium-High Risk,High confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.7484549773249749
QN25,3,High Opportunity,0.7373904819440963,0.0,0.8953026989763908,0.0,0.0586781465981187,148071.0,0.5857836144682762,0.886848751018784,0.3713761409536957,0.8307743339634655,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,0.7101941255760682,"SI35,SI14,BK68",3,6.73206751279603e-104,Low,Medium-Low Risk,Low confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.7386522984496745
SI35,3,High Opportunity,0.7258117234483172,0.0,0.8527495533476065,0.0,0.049413071622402,148071.0,0.5847507105343763,0.9048994260221864,0.4559580424335994,0.7560847931619844,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,0.688541363926243,"QN25,SI14,BK68",4,1.9410883649420003e-103,Low,Medium-Low Risk,Low confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.7161318894735329
QN33,3,High Opportunity,0.932631612129773,0.0,0.8459087403526235,0.0,0.0976408794172762,148071.0,0.8162404702593021,0.980433041384706,0.461267102656159,0.4310558341439631,0.0,18,0,0.4567901234567901,0.3333333333333333,4.5,0.2155896798280045,0.7545340769585596,"BX29,QN44,MN14",5,1.0,High,Medium-High Risk,High confidence,0.8430669124654574,0.0,0.0,1.0,LL,False,0.8522535911357845,0.6960135874361675
BK58,3,High Opportunity,1.0,0.0,0.8029448739825326,0.0,0.3294462858756339,148071.0,0.7813390568370324,0.9010624383620378,0.2699696204122536,0.2370570378834632,0.0,81,0,0.5362318840579711,0.2405797101449275,4.25925925925926,0.0957366556580489,0.7403252807246229,"QN56,BX29,QN30",6,1.0,High,Medium-High Risk,High confidence,0.8110794706741985,0.0,0.0,1.0,LL,False,0.8145337991349255,0.6805331855137913
BK68,3,High Opportunity,0.6038242148491115,0.0,0.7485736533619277,0.0,0.2178578719565445,148071.0,0.4552245036964635,0.6171132145559033,0.5085654343254206,0.7136963126182266,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,0.5980760004922892,"BK09,QN25,SI35",7,9.194766143165056e-99,Low,Medium-Low Risk,Low confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.6220414904908989
SI07,3,High Opportunity,0.662873328597924,0.0,0.6211022015714628,0.0,0.3541670938719327,148071.0,0.5087183722510399,0.6398711628444674,0.4666887310755971,0.3493562853787671,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,0.5707070652756282,"BK27,QN06,BK40",8,5.4832834693829274e-101,Low,Medium-Low Risk,Low confidence,0.6027362232588781,0.0,0.0,1.0,LL,False,0.5688541349538122,0.6031719726685678
BK09,3,High Opportunity,0.5641099459735646,0.0,0.6905177648878112,0.0,0.6230148666629478,96213.0,0.4415912778442529,0.5574633928390265,0.6145410344580495,0.6476720580822696,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,0.5589679375524237,"BK68,MN28,BK25",9,2.6230055443391165e-97,Low,Medium-Low Risk,Low confidence,0.5828004398290942,0.0,0.0,1.0,LL,False,0.5453457340865973,0.5894510155759635
BK25,3,High Opportunity,0.5939475108822565,0.0,0.6257412254844954,0.0,0.7935808222320464,148071.0,0.4751740844042518,0.5597496412109622,0.8288870241033208,0.4627808804136669,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,0.5449923477545742,"QN35,QN06,MN28",10,2.1307118788642615e-98,Low,Medium-Low Risk,Low confidence,0.5400791338760287,0.0,0.0,1.0,LL,False,0.4949685021381816,0.5719677523590595
QN30,3,High Opportunity,0.7888700778246986,0.0,0.7617885041301179,0.0,0.1116483224629169,148071.0,0.6116613525542902,0.8406152926106726,0.6264342678443713,0.4647159683402368,0.0,39,0,0.5490196078431373,0.2679738562091503,3.923076923076923,0.1066813547539852,0.6415997037327238,"QN56,BX29,BK58",11,0.9999999999999999,High,Medium-High Risk,High confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.5672128464073571
QN06,3,High Opportunity,0.602568975247251,0.0,0.5909042461335992,0.0,0.282882213382949,111988.0,0.4538614052441969,0.6170812092048242,0.508836993861475,0.3744838336493323,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,0.5345061417602135,"BK25,BK27,QN35",12,1.0233862684292543e-98,Low,Medium-Low Risk,Low confidence,0.6024796784185544,0.0,0.0,1.0,LL,False,0.56855161566893,0.5648955748084871
BX29,3,High Opportunity,0.7817163883749871,0.0,0.7382576004828947,0.0,0.1668901519912861,148071.0,0.596269492595342,0.7888597804820905,0.5967794305770623,0.4245407391023882,0.0,67,0,0.5578512396694215,0.3388429752066115,3.611940298507463,0.1513538870276184,0.6382603729486764,"QN30,QN56,BK58",13,0.9999999999999996,High,Medium-High Risk,High confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.5642606765293233
