nta_id,population
BK0101,34719
BK0102,45774
BK0103,42241
BK0104,50349
BK0201,22887
BK0202,24605
BK0203,26399
BK0204,24014
BK0261,7
BK0301,74491
BK0302,77089
BK0401,53577
BK0402,59043
BK0471,14
BK0501,41513
BK0502,39109
BK0503,47563
BK0504,13676
BK0505,42017
BK0571,6
BK0601,53756
BK0602,53502
BK0701,22554
BK0702,52189
BK0703,51806
BK0771,5
BK0801,19849
BK0802,76961
BK0891,0
BK0901,50405
BK0902,45808
BK1001,80916
BK1002,41378
BK1061,764
BK1091,0
BK1101,96036
BK1102,29931
BK1103,55669
BK1201,33397
BK1202,84270
BK1203,40472
BK1204,37441
BK1301,27400
BK1302,49715
BK1303,31462
BK1391,0
BK1401,67940
BK1402,42099
BK1403,48988
BK1501,50437
BK1502,38917
BK1503,64518
BK1601,31935
BK1602,54649
BK1701,46010
BK1702,33445
BK1703,39331
BK1704,37900
BK1771,29
BK1801,64762
BK1802,45231
BK1803,83693
BK1891,0
BK1892,0
BK1893,0
BK5591,0
BK5691,37
BK5692,0
BK5693,0
BX0101,52413
BX0102,39214
BX0201,15458
BX0202,37942
BX0291,0
BX0301,30870
BX0302,22174
BX0303,26143
BX0391,0
BX0401,66731
BX0402,30945
BX0403,48145
BX0491,0
BX0492,0
BX0501,52276
BX0502,45279
BX0503,32268
BX0601,18205
BX0602,30493
BX0603,34650
BX0701,44229
BX0702,53330
BX0703,40494
BX0801,34844
BX0802,22599
BX0803,43885
BX0901,69379
BX0902,34173
BX0903,37252
BX0904,29821
BX0991,4
BX1001,15653
BX1002,44164
BX1003,26583
BX1004,35475
BX1071,0
BX1091,3
BX1101,30638
BX1102,22913
BX1103,27228
BX1104,33998
BX1161,894
BX1201,55158
BX1202,49181
BX1203,45513
BX1271,0
BX2691,0
BX2791,1351
BX2891,512
MN0101,39699
MN0102,21266
MN0191,13
MN0201,23136
MN0202,32449
MN0203,34431
MN0301,44064
MN0302,47424
MN0303,71789
MN0401,55372
MN0402,45884
MN0501,25530
MN0502,21140
MN0601,21049
MN0602,27988
MN0603,57124
MN0604,41587
MN0661,0
MN0701,61489
MN0702,98860
MN0703,50724
MN0801,80771
MN0802,61207
MN0803,77942
MN0901,38723
MN0902,22950
MN0903,48520
MN1001,43383
MN1002,72340
MN1101,57902
MN1102,60961
MN1191,1648
MN1201,77417
MN1202,74157
MN1203,38283
MN1291,2
MN1292,161
MN6491,25
QN0101,47534
QN0102,16487
QN0103,49873
QN0104,39120
QN0105,26989
QN0151,11091
QN0161,8
QN0171,0
QN0191,3
QN0201,10815
QN0202,52441
QN0203,49721
QN0261,0
QN0271,27
QN0301,100866
QN0302,30436
QN0303,40112
QN0401,103494
QN0402,69583
QN0501,39160
QN0502,66648
QN0503,32496
QN0504,31917
QN0571,25
QN0572,19
QN0573,0
QN0574,73
QN0601,28260
QN0602,83728
QN0701,28246
QN0702,26802
QN0703,21751
QN0704,55951
QN0705,32300
QN0706,20798
QN0707,62478
QN0761,0
QN0791,0
QN0801,34278
QN0802,33704
QN0803,21345
QN0804,22170
QN0805,36500
QN0871,1
QN0891,73
QN0901,23278
QN0902,32951
QN0903,24165
QN0904,24158
QN0905,38382
QN1001,75878
QN1002,21376
QN1003,26143
QN1091,5
QN1101,33805
QN1102,34742
QN1103,24739
QN1104,23494
QN1191,72
QN1201,53883
QN1202,36938
QN1203,37699
QN1204,28537
QN1205,47831
QN1206,22349
QN1301,22571
QN1302,25287
QN1303,52734
QN1304,18677
QN1305,24453
QN1306,20170
QN1307,25025
QN1371,1
QN1401,53861
QN1402,36462
QN1403,24638
QN1491,0
QN8081,0
QN8191,56
QN8291,113
QN8381,0
QN8491,0
QN8492,17
SI0101,18774
SI0102,16192
SI0103,23259
SI0104,35484
SI0105,29816
SI0106,20754
SI0107,31474
SI0191,3
SI0201,34425
SI0202,27623
SI0203,30851
SI0204,39310
SI0291,53
SI0301,22049
SI0302,52868
SI0303,29916
SI0304,38160
SI0305,16860
SI0391,97
SI9561,731
SI9591,0
SI9592,31
SI9593,0
